,Data,Loja,Marca,Produto,Preço (R$)
133,2026-03-28,Kabum,Hiksemi,Memoria 16gb Ddr4 Hiksemi Armor 3200mhz Preta,1079.49
134,2026-03-28,Kabum,XPG,"Memória Gamer Xpg Spectrix D35g 16GB, RGB, DDR4, 3200 Mhz, Branco - Ax4u320016g16a-swhd35g",1087.2
135,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D50, 16GB, 3200MHz, RGB, Gray, AX4U320016G16A-ST50",1099.99
136,2026-03-28,Kabum,XPG,"Memória RAM XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35",1099.99
137,2026-03-28,Kabum,Rise Mode,"Memória RAM Gamer Rise Mode Venon, ARGB, 16GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-16G-3200-RGB",1099.99
138,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Renegade RGB, 8GB, 3600Mhz, KF436C16RB2A/8",1119.9
139,2026-03-28,Kabum,Redragon,"Memória Ddr4 Redragon Rage, 16gb, 3200mhz, Preto, Gm-708",1139.4
140,2026-03-28,Kabum,Corsair,"Memória Corsair, 16GB, 2666MHZ, DDR4, Vengeance - CMSX16GX4M1A2666C18",1145
141,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast RGB, 16GB (2x8GB), 3200MHz, Preto, KF432C16BB2AK2/16",1149.99
142,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D41, 16GB (2X8GB), 3200MHz, RGB, Gray, AX4U32008G16A-DT41",1149.99
143,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Renegade, 16GB, 4000MHz, DDR4, CL19, Preto - KF440C19RB12/16",1179.9
144,2026-03-28,Kabum,Rise Mode,Memória Rise Mode Z Series 16GB DDR4 3200Mhz Branco - RM-D4-16G-3200ZW,1199
145,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, 16GB, 3200MHz, Preto, KF432C16BB1/16WP",1199.9
146,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB PRO SL, 16GB (2x8GB) 3200MHz, Black, CMH16GX4M2E3200C16",1199.9
147,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG GAMMIX D35, 16GB, 3200MHz, Black, AX4U320016G16A-SBKD35",1199.9
148,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 16GB, 3200MHz, Preto, CMK16GX4M1E3200C16",1199.99
149,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast RGB, 16GB (2x8GB), 3600MHz, Preto, KF436C17BB2AK2/16",1199.99
150,2026-03-28,Kabum,Rise Mode,"Memória Gamer Rise Mode 16GB, DDR4, 3200MHz, CL16, Viper White - RM-D4-16G-3200VP-W",1199.99
151,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, RGB, 16GB, 3200MHz, Black, KF432C16BB2A/16",1199.99
152,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB RT, 16GB (2x8GB), 3200MHz, White, CMN16GX4M2Z3200C16W",1209.99
